Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7398,0.9013,0.4243,0.3017
UMAP,0.9577,0.9626,0.392,0.5269
PHATE,0.8668,0.9571,0.4336,0.6266
PaCMAP,0.9311,0.9551,0.3591,0.4763
TriMAP,0.9354,0.9527,0.2941,0.4271
tSNE,0.9621,0.9558,0.4188,0.5132
