Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7816,0.8972,0.3488,0.1903
UMAP,0.9609,0.9577,0.2597,0.323
PHATE,0.8556,0.9442,0.4422,0.5704
PaCMAP,0.9531,0.9535,0.3828,0.3801
TriMAP,0.9518,0.9526,0.3367,0.3263
tSNE,0.9672,0.9601,0.4048,0.4132
