Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7611,0.8643,0.4614,0.3375
UMAP,0.9424,0.9242,0.3387,0.534
PHATE,0.8135,0.9015,0.4023,0.6195
PaCMAP,0.9389,0.9161,0.3638,0.5334
TriMAP,0.9307,0.924,0.3647,0.5122
tSNE,0.7171,0.8755,0.4469,0.4858
