Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7831,0.9039,0.3952,0.1927
UMAP,0.9578,0.9561,0.3633,0.3686
PHATE,0.8848,0.9503,0.3928,0.4449
PaCMAP,0.9428,0.9462,0.3798,0.3388
TriMAP,0.9464,0.9484,0.3495,0.2709
tSNE,0.9603,0.9538,0.4134,0.3721
