Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7559,0.876,0.3044,0.2899
UMAP,0.9454,0.9341,0.4014,0.5895
PHATE,0.8107,0.9041,0.3166,0.5528
PaCMAP,0.9358,0.9087,0.2163,0.3602
TriMAP,0.9357,0.9204,0.2607,0.4037
tSNE,0.9404,0.927,0.3898,0.503
