Method,Trustworthiness_mean,Trustworthiness_std,Continuity_mean,Continuity_std,Spearman_Correlation_mean,Spearman_Correlation_std,DEMaP_mean,DEMaP_std,n_subsamples,subsample_size
PCA,0.7118,0.0016,0.8707,0.0011,0.3033,0.0034,0.2524,0.0201,30,10000
UMAP,0.9749,0.0005,0.9424,0.001,0.2744,0.0037,0.5045,0.0113,30,10000
PHATE,0.8816,0.0011,0.9382,0.0008,0.2641,0.0044,0.5202,0.0125,30,10000
PaCMAP,0.96,0.0009,0.937,0.0011,0.236,0.0032,0.4064,0.0119,30,10000
TriMAP,0.9469,0.0008,0.9456,0.0009,0.278,0.0026,0.4915,0.0106,30,10000
tSNE,0.5752,0.0018,0.5585,0.0018,0.0094,0.0021,-0.0114,0.0046,30,10000
