Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7357,0.8712,0.4575,0.3342
UMAP,0.9367,0.9325,0.2136,0.4711
PHATE,0.7804,0.913,0.2375,0.586
PaCMAP,0.9284,0.9185,0.1385,0.3713
TriMAP,0.9319,0.9231,0.1527,0.3311
tSNE,0.9371,0.9228,0.388,0.4095
