Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7309,0.8827,0.4575,0.4458
UMAP,0.9314,0.9417,0.2278,0.4713
PHATE,0.7447,0.9068,0.1924,0.5483
PaCMAP,0.9202,0.9252,0.2597,0.4208
TriMAP,0.9301,0.9317,0.2027,0.394
tSNE,0.9329,0.9347,0.4013,0.4738
