Method,Trustworthiness_mean,Trustworthiness_std,Continuity_mean,Continuity_std,Spearman_Correlation_mean,Spearman_Correlation_std,DEMaP_mean,DEMaP_std,n_subsamples,subsample_size
PCA,0.7392,0.001,0.8636,0.0007,0.3639,0.0031,0.3323,0.0228,30,10000
UMAP,0.9114,0.0008,0.9211,0.0008,0.4077,0.0025,0.522,0.0084,30,10000
PHATE,0.8022,0.001,0.9082,0.0006,0.3441,0.0025,0.4932,0.0085,30,10000
PaCMAP,0.8645,0.0011,0.9071,0.0007,0.3571,0.0027,0.4536,0.0138,30,10000
TriMAP,0.868,0.0007,0.9128,0.0008,0.3448,0.0031,0.4416,0.0215,30,10000
tSNE,0.9096,0.0007,0.8549,0.0012,0.2923,0.0031,0.3345,0.0158,30,10000
