Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7815,0.8887,0.5454,0.4169
UMAP,0.9691,0.9604,0.4734,0.6769
PHATE,0.8702,0.9524,0.5101,0.7283
PaCMAP,0.9516,0.951,0.432,0.5926
TriMAP,0.9475,0.9501,0.4041,0.5829
tSNE,0.9651,0.9547,0.4761,0.5451
