Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7459,0.892,0.3853,0.2013
UMAP,0.9638,0.963,0.3877,0.55
PHATE,0.8782,0.9583,0.4885,0.6643
PaCMAP,0.946,0.9552,0.3104,0.4152
TriMAP,0.9432,0.9534,0.2916,0.4234
tSNE,0.9658,0.9572,0.4046,0.4787
