Method,Trustworthiness_mean,Trustworthiness_std,Continuity_mean,Continuity_std,Spearman_Correlation_mean,Spearman_Correlation_std,DEMaP_mean,DEMaP_std,n_subsamples,subsample_size
PCA,0.7861,0.0013,0.894,0.0008,0.5429,0.0032,0.5663,0.0179,30,10000
UMAP,0.9466,0.0008,0.9319,0.0011,0.466,0.003,0.6208,0.0106,30,10000
PHATE,0.8614,0.0011,0.9395,0.0006,0.5612,0.0025,0.7213,0.0103,30,10000
PaCMAP,0.9276,0.001,0.9441,0.001,0.5111,0.0027,0.666,0.0108,30,10000
TriMAP,0.9071,0.0012,0.9449,0.0008,0.535,0.0028,0.692,0.0108,30,10000
tSNE,0.9751,0.0005,0.9263,0.0009,0.4292,0.0034,0.5626,0.0116,30,10000
