Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7592,0.8879,0.3919,0.4418
UMAP,0.9453,0.9399,0.4312,0.6729
PHATE,0.7748,0.9029,0.3218,0.556
PaCMAP,0.9364,0.9342,0.407,0.6054
TriMAP,0.9364,0.9286,0.2356,0.452
tSNE,0.9445,0.9347,0.4338,0.5774
