Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7917,0.8953,0.5318,0.4164
UMAP,0.97,0.9582,0.51,0.5999
PHATE,0.8292,0.9115,0.4434,0.5282
PaCMAP,0.9567,0.9435,0.4876,0.5384
TriMAP,0.9519,0.9529,0.473,0.5186
tSNE,0.9644,0.9592,0.4811,0.5753
