Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7553,0.8639,0.5329,0.2733
UMAP,0.9414,0.924,0.3961,0.5678
PHATE,0.8261,0.9133,0.4689,0.6253
PaCMAP,0.9401,0.9114,0.3175,0.4598
TriMAP,0.9362,0.9072,0.2604,0.428
tSNE,0.7217,0.8834,0.4962,0.4607
