Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.8053,0.9128,0.5161,0.2734
UMAP,0.958,0.9565,0.5006,0.4917
PHATE,0.8933,0.9494,0.5461,0.5616
PaCMAP,0.9451,0.9434,0.489,0.4029
TriMAP,0.9492,0.9483,0.4875,0.3854
tSNE,0.9624,0.9525,0.5074,0.4265
