Method,Trustworthiness_mean,Trustworthiness_std,Continuity_mean,Continuity_std,Spearman_Correlation_mean,Spearman_Correlation_std,DEMaP_mean,DEMaP_std,n_subsamples,subsample_size
PCA,0.7921,0.0,0.8937,0.0,0.516,0.0,0.4907,0.0,1,1566
UMAP,0.9621,0.0,0.9373,0.0,0.4002,0.0,0.6743,0.0,1,1566
PHATE,0.8074,0.0,0.8925,0.0,0.3098,0.0,0.5793,0.0,1,1566
PaCMAP,0.9466,0.0,0.935,0.0,0.3959,0.0,0.6029,0.0,1,1566
TriMAP,0.9404,0.0,0.9313,0.0,0.3602,0.0,0.6246,0.0,1,1566
tSNE,0.9621,0.0,0.9364,0.0,0.4244,0.0,0.5187,0.0,1,1566
