Method,Trustworthiness_mean,Trustworthiness_std,Continuity_mean,Continuity_std,Spearman_Correlation_mean,Spearman_Correlation_std,DEMaP_mean,DEMaP_std,n_subsamples,subsample_size
PCA,0.7682,0.001,0.9006,0.0006,0.4495,0.0028,0.5186,0.0174,30,10000
UMAP,0.9325,0.0008,0.9336,0.0007,0.4115,0.0023,0.5564,0.0125,30,10000
PHATE,0.8368,0.0013,0.9342,0.0006,0.4498,0.0032,0.6284,0.0109,30,10000
PaCMAP,0.9044,0.001,0.9306,0.0008,0.4178,0.003,0.5491,0.0161,30,10000
TriMAP,0.8979,0.001,0.9399,0.0006,0.4405,0.0026,0.5823,0.0173,30,10000
tSNE,0.955,0.0006,0.9343,0.0007,0.4516,0.0028,0.5431,0.0175,30,10000
