Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7671,0.9051,0.4732,0.3984
UMAP,0.965,0.962,0.4154,0.6679
PHATE,0.8867,0.9582,0.4563,0.6985
PaCMAP,0.9524,0.9544,0.3977,0.5571
TriMAP,0.9483,0.955,0.3524,0.5751
tSNE,0.9681,0.9593,0.5047,0.5143
