Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7821,0.8907,0.4966,0.5782
UMAP,0.9623,0.9453,0.4766,0.744
PHATE,0.8538,0.9263,0.4616,0.7463
PaCMAP,0.9586,0.9313,0.4286,0.6365
TriMAP,0.9544,0.945,0.4536,0.7263
tSNE,0.9547,0.9428,0.482,0.654
