Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7616,0.8935,0.571,0.4761
UMAP,0.9684,0.96,0.4749,0.7249
PHATE,0.8737,0.9512,0.4864,0.7536
PaCMAP,0.9548,0.9529,0.5082,0.652
TriMAP,0.952,0.956,0.4567,0.6991
tSNE,0.9671,0.9544,0.5458,0.5684
