Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.8018,0.9082,0.571,0.5089
UMAP,0.9756,0.9648,0.5701,0.7081
PHATE,0.8461,0.925,0.4756,0.6326
PaCMAP,0.9636,0.9548,0.5185,0.6212
TriMAP,0.9617,0.9594,0.515,0.6154
tSNE,0.9745,0.9615,0.4704,0.599
