Method,Trustworthiness_mean,Trustworthiness_std,Continuity_mean,Continuity_std,Spearman_Correlation_mean,Spearman_Correlation_std,DEMaP_mean,DEMaP_std,n_subsamples,subsample_size
PCA,0.7209,0.002,0.8802,0.0009,0.3584,0.0036,0.3434,0.0144,30,10000
UMAP,0.974,0.0008,0.9346,0.0012,0.2658,0.0036,0.5033,0.0081,30,10000
PHATE,0.8953,0.0012,0.9454,0.0007,0.325,0.004,0.572,0.0137,30,10000
PaCMAP,0.9631,0.0009,0.9453,0.0009,0.3073,0.0035,0.4262,0.0092,30,10000
TriMAP,0.9568,0.0009,0.9507,0.0009,0.3013,0.0036,0.5133,0.0092,30,10000
tSNE,0.966,0.0007,0.9087,0.0016,0.25,0.0028,0.3776,0.0098,30,10000
