Method,Trustworthiness_mean,Trustworthiness_std,Continuity_mean,Continuity_std,Spearman_Correlation_mean,Spearman_Correlation_std,DEMaP_mean,DEMaP_std,n_subsamples,subsample_size
PCA,0.7749,0.0013,0.9092,0.0007,0.4794,0.004,0.5668,0.0143,30,10000
UMAP,0.9495,0.0008,0.9388,0.0009,0.4121,0.003,0.6409,0.0101,30,10000
PHATE,0.8488,0.0019,0.9424,0.0008,0.4452,0.0039,0.6909,0.0117,30,10000
PaCMAP,0.924,0.0011,0.9434,0.0011,0.4322,0.0035,0.6282,0.0117,30,10000
TriMAP,0.8957,0.0015,0.9463,0.0009,0.4343,0.0041,0.6661,0.0131,30,10000
tSNE,0.9752,0.0005,0.9391,0.0008,0.4181,0.0025,0.6006,0.0118,30,10000
