Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7953,0.9097,0.4278,0.2818
UMAP,0.9718,0.9634,0.4153,0.4946
PHATE,0.844,0.9317,0.4689,0.6162
PaCMAP,0.9602,0.9538,0.3842,0.4115
TriMAP,0.9552,0.9592,0.4229,0.4488
tSNE,0.9715,0.9614,0.453,0.5391
