Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7817,0.8919,0.4645,0.4475
UMAP,0.952,0.9472,0.5567,0.7054
PHATE,0.8191,0.9108,0.476,0.5858
PaCMAP,0.9464,0.939,0.4676,0.5604
TriMAP,0.9493,0.9427,0.4359,0.5383
tSNE,0.8792,0.9292,0.4106,0.4685
