Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7502,0.8822,0.4125,0.1961
UMAP,0.9414,0.9353,0.3152,0.4296
PHATE,0.8062,0.9186,0.3905,0.517
PaCMAP,0.9329,0.9131,0.2366,0.2922
TriMAP,0.9377,0.9203,0.1946,0.2444
tSNE,0.8413,0.9278,0.3004,0.2623
