Method,Trustworthiness_mean,Trustworthiness_std,Continuity_mean,Continuity_std,Spearman_Correlation_mean,Spearman_Correlation_std,DEMaP_mean,DEMaP_std,n_subsamples,subsample_size
PCA,0.7503,0.0015,0.8776,0.0009,0.5039,0.003,0.4659,0.0107,30,10000
UMAP,0.9354,0.0009,0.921,0.0011,0.4948,0.0032,0.5997,0.0093,30,10000
PHATE,0.805,0.0014,0.9177,0.001,0.5377,0.0034,0.6205,0.0111,30,10000
PaCMAP,0.9099,0.001,0.9178,0.0012,0.5015,0.0034,0.5785,0.0119,30,10000
TriMAP,0.886,0.0011,0.9263,0.0008,0.5078,0.0032,0.5611,0.0139,30,10000
tSNE,0.9599,0.0006,0.8999,0.0014,0.3656,0.005,0.4029,0.0116,30,10000
