Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7663,0.8818,0.3671,0.3401
UMAP,0.9565,0.9475,0.4549,0.6711
PHATE,0.8465,0.9002,0.4344,0.6446
PaCMAP,0.9526,0.9337,0.3873,0.5038
TriMAP,0.9518,0.9402,0.4002,0.5672
tSNE,0.8723,0.9333,0.3827,0.5162
