Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7598,0.9046,0.4651,0.3356
UMAP,0.9578,0.9623,0.4056,0.5988
PHATE,0.8789,0.9538,0.469,0.6149
PaCMAP,0.938,0.9511,0.4489,0.5427
TriMAP,0.9412,0.9499,0.3296,0.5024
tSNE,0.9625,0.9547,0.5369,0.5881
