Method,Trustworthiness,Continuity,Spearman Correlation,DEMaP
PCA,0.7779,0.8935,0.5397,0.4264
UMAP,0.9454,0.9422,0.3485,0.5909
PHATE,0.7764,0.8977,0.3857,0.5419
PaCMAP,0.9396,0.9302,0.4004,0.4688
TriMAP,0.9457,0.9346,0.3918,0.4938
tSNE,0.948,0.9409,0.5711,0.5477
